"FILE";"ROW";"PRDKEY";"YEAR";"MONTH";"INDICODECR";"COICOP";"DESCRIZIONE";"MARCA";"FORMATO";"MERCATO";"FAMIGLIA";"EAN";"TURNOVERCURR";"QUANTITYCURR";"PRICECURR";"COUNTPDVCURR";"TURNOVERPREV";"QUANTITYPREV";"PRICEPREV";"COUNTPDVPREV";"VTURNOVER";"VPRICE";"DESC";"DESCRIZIONE1";"UNITA";"QUANTITA";"UNITA.QUANTITA";"fm.d";"REGOLA"
"A";"70";"23868507";"2020";"5";"01020304";"01.1.8.3.0.00";"CIDNEO CIDNEO NOBIO OVETTI CONFETTATI STD SACCHETTO 01 0150.0 GR";"CIDNEO";"150GR";"Altri Fuori Pasto Dolci Bocconcini Conf";"ALTRI FUORI PASTO DOLCI";"8000038990115";"623.55";"386";"1.62";"102";"9210.32";"3771";"2.44";"402";"-93.2298769206716";"-33.8597561343331";"  NOBIO OVETTI CONFETTATI STD SACCHETTO 01 0150.0 GR";"CIDNEO CIDNEO NOBIO OVETTI CONFETTATI STD SACCHETTO 01 0150.0 GR";"GR";"150";"GR|150";0.988279199500614;"2"
"B";"6099";"13655153";"2020";"5";"01020304";"01.1.8.3.0.00";"CIDNEO CIDNEO NOBIO OVETTI CONFETTATI CIALDA SACCHETTO 01 0080.0 GR";"CIDNEO";"80GR";"Altri Fuori Pasto Dolci Bocconcini Conf";"ALTRI FUORI PASTO DOLCI";"8000038123117";"311.08";"158";"1.97";"38";"6064.98";"2170";"2.79";"305";"-94.8708816846882";"-29.5557800998311";"  NOBIO OVETTI CONFETTATI CIALDA SACCHETTO 01 0080.0 GR";"CIDNEO CIDNEO NOBIO OVETTI CONFETTATI CIALDA SACCHETTO 01 0080.0 GR";"GR";"80";"GR|80";0.988279199500614;"2"
"A";"61";"13484104";"2020";"5";"05040302";"05.6.1.2.0.00";"CONTITAL PRESTO FATTO STD ROT.ALLUM ALLUMINIO 1 008 MT";"PRESTO FATTO";"800CM";"Avvolgenti Alimentari Alluminio";"AVVOLGENTI ALIMENTARI";"8011851120252";"8.93";"10";"0.89";"1";"38.86";"20";"1.94";"1";"-77.0200720535255";"-54.0401441070509";"CONTITAL  STD ROT.ALLUM ALLUMINIO 1 008 MT";"CONTITAL PRESTO FATTO STD ROT.ALLUM ALLUMINIO 1 008 MT";"CM";"800";"CM|800";0.999999999987925;"2"
"B";"61035";"13471446";"2020";"5";"05040302";"05.6.1.2.0.00";"CONTITAL PRESTO FATTO STD ROT.ALLUM ALLUMINIO 1 016 MT";"PRESTO FATTO";"1600CM";"Avvolgenti Alimentari Alluminio";"AVVOLGENTI ALIMENTARI";"8011851120269";"26.16";"22";"1.19";"1";"58.29";"49";"1.19";"1";"-55.120946989192";"-0.0421092032002994";"CONTITAL  STD ROT.ALLUM ALLUMINIO 1 016 MT";"CONTITAL PRESTO FATTO STD ROT.ALLUM ALLUMINIO 1 016 MT";"CM";"1600";"CM|1600";0.999999999987925;"2"
"A";"193";"55224049";"2020";"5";"01140110";"01.2.1.1.0.00";"PL PL GRANCREMA ESPR ELETT ALTRE M. MACIN 01 036 CIALDE SCAT NO ARABICA 0234.000 GR NO FILTRO NONEQUOSOLIDALE NOBIO PL";"EUROSPIN";NA;"Caffe Macinato Capsule A Modo Mio";"CAFFE MACINATO";"8017596105875";"479.07";"157";"3.05";"18";"2229.57";"450";"4.95";"101";"-78.5128971057199";"-38.4127624049298";"PL PL GRANCREMA ESPR ELETT ALTRE M. MACIN 01 036 CIALDE SCAT NO ARABICA 0234.000 GR NO FILTRO NONEQUOSOLIDALE NOBIO PL";"PL PL GRANCREMA ESPR ELETT ALTRE M. MACIN 01 036 CIALDE SCAT NO ARABICA 0234.000 GR NO FILTRO NONEQUOSOLIDALE NOBIO PL";NA;NA;NA;0.999999998167191;"3"
"B";"40943";"54320026";"2020";"5";"01140110";"01.2.1.1.0.00";"PL PL GRANCREMA ESPR ELETT ALTRE M. MACIN 01 016 CIALDE SCAT NO ARABICA 0104.000 GR NO FILTRO NONEQUOSOLIDALE NOBIO PL";"EUROSPIN";"104GR";"Caffe Macinato Capsule A Modo Mio";"CAFFE MACINATO";"8017596105868";"26736.51";"8384";"3.19";"107";"23343.93";"7321";"3.19";"107";"14.5330285003425";"0.0114863610457239";"PL PL GRANCREMA ESPR ELETT ALTRE M. MACIN 01 016 CIALDE SCAT NO ARABICA 0104.000 GR NO FILTRO NONEQUOSOLIDALE NOBIO PL";"PL PL GRANCREMA ESPR ELETT ALTRE M. MACIN 01 016 CIALDE SCAT NO ARABICA 0104.000 GR NO FILTRO NONEQUOSOLIDALE NOBIO PL";"GR";"104";"GR|104";0.999999998167191;"3"
"A";"37";"45179547";"2020";"5";"01140111";"01.2.1.1.0.00";"TORREFAZIONE POLI POLI STD ESPR ELETT ALTRE M. MACIN 01 010 CIALDE SCAT 0052.000 GR NONEQUOSOLIDALE NOBIO";"POLI";"52GR";"Caffe Macinato Capsule Nespresso";"CAFFE MACINATO";"8019650001857";"21";"14";"1.5";"3";"99.9";"37";"2.7";"5";"-78.978978978979";"-44.4444444444444";"TORREFAZIONE   STD ESPR ELETT ALTRE M. MACIN 01 010 CIALDE SCAT 0052.000 GR NONEQUOSOLIDALE NOBIO";"TORREFAZIONE POLI POLI STD ESPR ELETT ALTRE M. MACIN 01 010 CIALDE SCAT 0052.000 GR NONEQUOSOLIDALE NOBIO";"GR";"52";"GR|52";0.999999999999977;"2"
"B";"152718";"54535842";"2020";"5";"01140111";"01.2.1.1.0.00";"TORREFAZIONE POLI POLI STD ESPR ELETT ALTRE M. MACIN 01 050 CIALDE SCAT 0260.000 GR NONEQUOSOLIDALE NOBIO";"POLI";"260GR";"Caffe Macinato Capsule Nespresso";"CAFFE MACINATO";"8019650003547";"391.11";"54";"7.24";"2";"293.29";"41";"7.15";"3";"33.3526543693955";"1.24923757676323";"TORREFAZIONE   STD ESPR ELETT ALTRE M. MACIN 01 050 CIALDE SCAT 0260.000 GR NONEQUOSOLIDALE NOBIO";"TORREFAZIONE POLI POLI STD ESPR ELETT ALTRE M. MACIN 01 050 CIALDE SCAT 0260.000 GR NONEQUOSOLIDALE NOBIO";"GR";"260";"GR|260";0.999999999999977;"2"
"A";"201";"595242";"2020";"5";"03010601";"01.1.4.5.2.00";"LACTALIS INVERNIZZINA NOBIO INVERNIZZINA STD 1 500 GR 01 FORM.MOLLI";"INVERNIZZINA";"500GR";"Crescenza Normale";"CRESCENZA";"8001590921807";"24.88";"10";"2.49";"4";"1411.44";"354";"3.99";"139";"-98.2372612367511";"-37.5990477809896";"LACTALIS  NOBIO  STD 1 500 GR 01 FORM.MOLLI";"LACTALIS INVERNIZZINA NOBIO INVERNIZZINA STD 1 500 GR 01 FORM.MOLLI";"GR";"500";"GR|500";0.999999997407962;"2"
"B";"68069";"22334493";"2020";"5";"03010601";"01.1.4.5.2.00";"LACTALIS INVERNIZZINA NOBIO INVERNIZZINA STD 1 150 GR 01 FORM.MOLLI";"INVERNIZZINA";"150GR";"Crescenza Normale";"CRESCENZA";"8025025005597";"15520.82";"9567";"1.62";"74";"26281.92";"17400";"1.51";"76";"-40.9448776953891";"7.40661943140275";"LACTALIS  NOBIO  STD 1 150 GR 01 FORM.MOLLI";"LACTALIS INVERNIZZINA NOBIO INVERNIZZINA STD 1 150 GR 01 FORM.MOLLI";"GR";"150";"GR|150";0.999999997407962;"2"
"A";"142";"13562492";"2020";"5";"03030302";"01.1.4.6.0.00";"PL PL STD CREMA+PANNA LATTE CACAO PANNA MONTATA FRESCO 04 0100.0 GR PLAS NOBIO DESSERT PL";"COOP";"100GR";"Dessert Freschi Coppa con Panna Mono";"DESSERT FRESCHI";"8001120789792";"32.64";"30";"1.09";"17";"7889.2";"5072";"1.56";"321";"-99.5862698372459";"-30.0520204836992";"PL PL STD CREMA+PANNA LATTE CACAO PANNA MONTATA FRESCO 04 0100.0 GR PLAS NOBIO DESSERT PL";"PL PL STD CREMA+PANNA LATTE CACAO PANNA MONTATA FRESCO 04 0100.0 GR PLAS NOBIO DESSERT PL";"GR";"100";"GR|100";0.931548421112467;"2"
"B";"154708";"55551411";"2020";"5";"03030302";"01.1.4.6.0.00";"PL PL STD CREMA+PANNA LATTE CACAO PANNA MONTATA FRESCO 01 0200.0 GR PLAS NOBIO DESSERT PL";"ESSELUNGA";"200GR";"Dessert Freschi Coppa con Panna Mono";"DESSERT FRESCHI";"8002330011000";"2341.81";"10649";"0.22";"76";"2337.33";"10629";"0.22";"76";"0.191671693770242";"0.00350065105492567";"PL PL STD CREMA+PANNA LATTE CACAO PANNA MONTATA FRESCO 01 0200.0 GR PLAS NOBIO DESSERT PL";"PL PL STD CREMA+PANNA LATTE CACAO PANNA MONTATA FRESCO 01 0200.0 GR PLAS NOBIO DESSERT PL";"GR";"200";"GR|200";0.931548421112467;"2"
"A";"94";"3933551";"2020";"5";"01020501";"01.1.8.3.0.00";"WITOR'S WITOR'S NOBIO OVE UNI MAXI OVETTI CREMA NOCCIOLA CEREALI CROCCANTI LATTE RIPIENI SAC 1 01000.0 GR";"WITOR'S";"1000GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8003535004903";"5687.78";"2030";"2.8";"215";"32169.61";"7597";"4.23";"602";"-82.3194002041057";"-33.8327504190103";"  NOBIO OVE UNI MAXI OVETTI CREMA NOCCIOLA CEREALI CROCCANTI LATTE RIPIENI SAC 1 01000.0 GR";"WITOR'S WITOR'S NOBIO OVE UNI MAXI OVETTI CREMA NOCCIOLA CEREALI CROCCANTI LATTE RIPIENI SAC 1 01000.0 GR";"GR";"1000";"GR|1000";0.999996432809176;"2"
"B";"130369";"25397057";"2020";"5";"01020501";"01.1.8.3.0.00";"WITOR'S WITOR'S NOBIO OVE UNI MAXI OVETTI CREMA NOCCIOLA CEREALI CROCCANTI LATTE RIPIENI SAC 1 00250.0 GR";"WITOR'S";"250GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8003535052331";"2984.06";"2234";"1.34";"309";"28291.51";"14862";"1.9";"928";"-89.4524541107915";"-29.8309637397421";"  NOBIO OVE UNI MAXI OVETTI CREMA NOCCIOLA CEREALI CROCCANTI LATTE RIPIENI SAC 1 00250.0 GR";"WITOR'S WITOR'S NOBIO OVE UNI MAXI OVETTI CREMA NOCCIOLA CEREALI CROCCANTI LATTE RIPIENI SAC 1 00250.0 GR";"GR";"250";"GR|250";0.999996432809176;"2"
"A";"145";"20795336";"2020";"5";"01020501";"01.1.8.3.0.00";"VERGANI CHACAO NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI BUS 1 01000.0 GR";"CHACAO";"1000GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8002325446404";"426.54";"417";"1.02";"35";"2120.19";"709";"2.99";"68";"-79.8819917082903";"-65.7945614416734";"VERGANI  NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI BUS 1 01000.0 GR";"VERGANI CHACAO NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI BUS 1 01000.0 GR";"GR";"1000";"GR|1000";0.999714852043234;"2"
"B";"6049";"13630982";"2020";"5";"01020501";"01.1.8.3.0.00";"VERGANI CHACAO NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI BUS 1 00125.0 GR";"CHACAO";"125GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8002325446107";"783.62";"1430";"0.55";"87";"1975.11";"2790";"0.71";"159";"-60.3252477077226";"-22.5926161570252";"VERGANI  NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI BUS 1 00125.0 GR";"VERGANI CHACAO NOBIO OVE UNI STD CREMA NOC LATTE RIPIENI BUS 1 00125.0 GR";"GR";"125";"GR|125";0.999714852043234;"2"
"A";"144";"20795327";"2020";"5";"01020501";"01.1.8.3.0.00";"VERGANI CHACAO NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 01000.0 GR";"CHACAO";"1000GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8002325446305";"422.97";"465";"0.91";"39";"2025.84";"687";"2.95";"65";"-79.1212534059946";"-69.1533356772436";"VERGANI  NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 01000.0 GR";"VERGANI CHACAO NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 01000.0 GR";"GR";"1000";"GR|1000";0.999535209839995;"2"
"B";"6256";"13875911";"2020";"5";"01020501";"01.1.8.3.0.00";"VERGANI CHACAO NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 00125.0 GR";"CHACAO";"125GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8002325446008";"776.4";"1435";"0.54";"95";"1840.6";"2661";"0.69";"156";"-57.8181027925676";"-21.7797711017578";"VERGANI  NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 00125.0 GR";"VERGANI CHACAO NOBIO OVE UNI STD CREMA LATTE LATTE RIPIENI BUS 1 00125.0 GR";"GR";"125";"GR|125";0.999535209839995;"2"
"A";"165";"36599600";"2020";"5";"01020501";"01.1.8.3.0.00";"LAICA LAICA NOBIO OVE UNI STD CREMA NOCCIOLA CEREALI LATTE RIPIENI BUS 1 00275.0 GR";"LAICA";"275GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8008743045953";"261.62";"348";"0.75";"60";"1626.49";"1057";"1.54";"112";"-83.9150563483329";"-51.1442947131836";"  NOBIO OVE UNI STD CREMA NOCCIOLA CEREALI LATTE RIPIENI BUS 1 00275.0 GR";"LAICA LAICA NOBIO OVE UNI STD CREMA NOCCIOLA CEREALI LATTE RIPIENI BUS 1 00275.0 GR";"GR";"275";"GR|275";0.870219350201035;"2"
"B";"15454";"23846785";"2020";"5";"01020501";"01.1.8.3.0.00";"LAICA LAICA NOBIO OVE UNI STD CREMA LATTE.CEREALI LATTE RIPIENI BUS 1 00120.0 GR";"LAICA";"120GR";"Ovetti Pieni o Ripieni Latte (Ciocc. al)";"OVETTI PIENI O RIPIENI";"8008743038498";"434.97";"927";"0.47";"52";"1244.62";"1638";"0.76";"67";"-65.0519837380084";"-38.2471945661896";"  NOBIO OVE UNI STD CREMA LATTE.CEREALI LATTE RIPIENI BUS 1 00120.0 GR";"LAICA LAICA NOBIO OVE UNI STD CREMA LATTE.CEREALI LATTE RIPIENI BUS 1 00120.0 GR";"GR";"120";"GR|120";0.870219350201035;"2"
